- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 795.2,  렌더링 객체: 376,  렌더링 fake 객체: 1432
        시간 간격: 777.8,  렌더링 객체: 376,  렌더링 fake 객체: 1421
        시간 간격: 875.7,  렌더링 객체: 373,  렌더링 fake 객체: 1420
        시간 간격: 1039.0,  렌더링 객체: 373,  렌더링 fake 객체: 1419
        시간 간격: 763.2,  렌더링 객체: 372,  렌더링 fake 객체: 1419
        시간 간격: 726.9,  렌더링 객체: 371,  렌더링 fake 객체: 1418
        시간 간격: 809.9,  렌더링 객체: 371,  렌더링 fake 객체: 1420
        시간 간격: 827.5,  렌더링 객체: 369,  렌더링 fake 객체: 1420
        시간 간격: 798.0,  렌더링 객체: 369,  렌더링 fake 객체: 1419
        시간 간격: 3001.6,  렌더링 객체: 368,  렌더링 fake 객체: 1417
        시간 간격: 784.2,  렌더링 객체: 370,  렌더링 fake 객체: 1424
        시간 간격: 851.0,  렌더링 객체: 369,  렌더링 fake 객체: 1426
        시간 간격: 817.3,  렌더링 객체: 370,  렌더링 fake 객체: 1426
        시간 간격: 975.6,  렌더링 객체: 370,  렌더링 fake 객체: 1424
        시간 간격: 773.1,  렌더링 객체: 370,  렌더링 fake 객체: 1423
        시간 간격: 986.4,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 955.0,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 785.6,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 759.4,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 740.1,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 954.5,  렌더링 객체: 370,  렌더링 fake 객체: 1427
        시간 간격: 761.2,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 817.3,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 782.8,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 769.3,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 944.8,  렌더링 객체: 370,  렌더링 fake 객체: 1427
        시간 간격: 1028.2,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 871.9,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 747.1,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 945.4,  렌더링 객체: 370,  렌더링 fake 객체: 1425
        시간 간격: 799.6,  렌더링 객체: 370,  렌더링 fake 객체: 1423
        시간 간격: 889.9,  렌더링 객체: 370,  렌더링 fake 객체: 1424
        시간 간격: 855.5,  렌더링 객체: 369,  렌더링 fake 객체: 1424
        시간 간격: 859.0,  렌더링 객체: 369,  렌더링 fake 객체: 1424
        시간 간격: 843.2,  렌더링 객체: 370,  렌더링 fake 객체: 1423
        시간 간격: 785.1,  렌더링 객체: 369,  렌더링 fake 객체: 1419
