- 일반 쿼드트리
    - 좌우 이동 (10000m 상공)
        
        [click P] 높이= 10000.000000
        [CULL] maxLevel=8, 시간=1121.9us, m_minNodePixels=8.0, 방문노드=7470, 절두체판정=5589, 객체검사=5024, 렌더객체=37808, fake노드=4982
        [CULL] maxLevel=8, 시간=1134.0us, m_minNodePixels=8.0, 방문노드=7474, 절두체판정=5589, 객체검사=5024, 렌더객체=37947, fake노드=5020
        [CULL] maxLevel=8, 시간=1238.9us, m_minNodePixels=8.0, 방문노드=7422, 절두체판정=5682, 객체검사=5118, 렌더객체=38048, fake노드=5012
        [CULL] maxLevel=8, 시간=1255.8us, m_minNodePixels=8.0, 방문노드=7423, 절두체판정=5682, 객체검사=5118, 렌더객체=38088, fake노드=5015
        [CULL] maxLevel=8, 시간=1166.2us, m_minNodePixels=8.0, 방문노드=7431, 절두체판정=5682, 객체검사=5118, 렌더객체=38075, fake노드=5019
        [CULL] maxLevel=8, 시간=1257.7us, m_minNodePixels=8.0, 방문노드=7533, 절두체판정=5606, 객체검사=5054, 렌더객체=38125, fake노드=5045
        [CULL] maxLevel=8, 시간=1173.1us, m_minNodePixels=8.0, 방문노드=7539, 절두체판정=5606, 객체검사=5054, 렌더객체=38125, fake노드=5028
        [CULL] maxLevel=8, 시간=1174.6us, m_minNodePixels=8.0, 방문노드=7542, 절두체판정=5606, 객체검사=5054, 렌더객체=38164, fake노드=5032
        [CULL] maxLevel=8, 시간=998.3us, m_minNodePixels=8.0, 방문노드=7541, 절두체판정=5606, 객체검사=5054, 렌더객체=38134, fake노드=5028
        [CULL] maxLevel=8, 시간=1107.9us, m_minNodePixels=8.0, 방문노드=7546, 절두체판정=5606, 객체검사=5054, 렌더객체=38179, fake노드=5057
        [CULL] maxLevel=8, 시간=1105.6us, m_minNodePixels=8.0, 방문노드=7502, 절두체판정=5573, 객체검사=5018, 렌더객체=38243, fake노드=5045
        [CULL] maxLevel=8, 시간=1211.9us, m_minNodePixels=8.0, 방문노드=7493, 절두체판정=5573, 객체검사=5018, 렌더객체=38231, fake노드=5038
        [CULL 평균] maxLevel=8, m_minNodePixels=8.0 평균시간=1149.0us (60프레임), 방문노드=7493, 객체검사=5018
        [CULL] maxLevel=8, 시간=1171.5us, m_minNodePixels=8.0, 방문노드=7475, 절두체판정=5573, 객체검사=5018, 렌더객체=38170, fake노드=5023
        [CULL] maxLevel=8, 시간=1094.8us, m_minNodePixels=8.0, 방문노드=7501, 절두체판정=5573, 객체검사=5018, 렌더객체=38219, fake노드=5042
        [CULL] maxLevel=8, 시간=1434.1us, m_minNodePixels=8.0, 방문노드=7572, 절두체판정=5619, 객체검사=5049, 렌더객체=38228, fake노드=5066
        [CULL] maxLevel=8, 시간=1108.5us, m_minNodePixels=8.0, 방문노드=7558, 절두체판정=5619, 객체검사=5049, 렌더객체=38126, fake노드=5028
        [CULL] maxLevel=8, 시간=1268.0us, m_minNodePixels=8.0, 방문노드=7563, 절두체판정=5619, 객체검사=5049, 렌더객체=38011, fake노드=5029
        [CULL] maxLevel=8, 시간=1184.6us, m_minNodePixels=8.0, 방문노드=7545, 절두체판정=5619, 객체검사=5049, 렌더객체=37949, fake노드=5048
        [CULL] maxLevel=8, 시간=1486.6us, m_minNodePixels=8.0, 방문노드=7435, 절두체판정=5398, 객체검사=4838, 렌더객체=37789, fake노드=5005
        [CULL] maxLevel=8, 시간=1110.1us, m_minNodePixels=8.0, 방문노드=7422, 절두체판정=5398, 객체검사=4838, 렌더객체=37684, fake노드=4994
        [CULL] maxLevel=8, 시간=1099.9us, m_minNodePixels=8.0, 방문노드=7411, 절두체판정=5398, 객체검사=4838, 렌더객체=37614, fake노드=4985
        [CULL] maxLevel=8, 시간=1198.9us, m_minNodePixels=8.0, 방문노드=7489, 절두체판정=5449, 객체검사=4881, 렌더객체=37541, fake노드=5004
        [CULL] maxLevel=8, 시간=1184.9us, m_minNodePixels=8.0, 방문노드=7466, 절두체판정=5449, 객체검사=4881, 렌더객체=37369, fake노드=4962
        [CULL] maxLevel=8, 시간=1139.6us, m_minNodePixels=8.0, 방문노드=7447, 절두체판정=5449, 객체검사=4881, 렌더객체=37288, fake노드=4949
        [CULL] maxLevel=8, 시간=1141.3us, m_minNodePixels=8.0, 방문노드=7428, 절두체판정=5449, 객체검사=4881, 렌더객체=37221, fake노드=4934
        [CULL] maxLevel=8, 시간=1120.7us, m_minNodePixels=8.0, 방문노드=7412, 절두체판정=5449, 객체검사=4881, 렌더객체=37243, fake노드=4949
        [CULL] maxLevel=8, 시간=1222.1us, m_minNodePixels=8.0, 방문노드=7338, 절두체판정=5435, 객체검사=4872, 렌더객체=37149, fake노드=4916
        [CULL] maxLevel=8, 시간=1094.5us, m_minNodePixels=8.0, 방문노드=7319, 절두체판정=5435, 객체검사=4872, 렌더객체=37105, fake노드=4903
        [CULL] maxLevel=8, 시간=1066.9us, m_minNodePixels=8.0, 방문노드=7306, 절두체판정=5435, 객체검사=4872, 렌더객체=37045, fake노드=4894
        [CULL] maxLevel=8, 시간=1110.2us, m_minNodePixels=8.0, 방문노드=7344, 절두체판정=5366, 객체검사=4812, 렌더객체=36933, fake노드=4879
        [CULL] maxLevel=8, 시간=1126.9us, m_minNodePixels=8.0, 방문노드=7312, 절두체판정=5366, 객체검사=4812, 렌더객체=36704, fake노드=4855
        [CULL] maxLevel=8, 시간=1057.7us, m_minNodePixels=8.0, 방문노드=7318, 절두체판정=5366, 객체검사=4812, 렌더객체=36715, fake노드=4858
        [CULL] maxLevel=8, 시간=1146.5us, m_minNodePixels=8.0, 방문노드=7276, 절두체판정=5366, 객체검사=4812, 렌더객체=36518, fake노드=4843
        [CULL] maxLevel=8, 시간=1089.4us, m_minNodePixels=8.0, 방문노드=7183, 절두체판정=5496, 객체검사=4940, 렌더객체=36268, fake노드=4804
        [CULL] maxLevel=8, 시간=1253.0us, m_minNodePixels=8.0, 방문노드=7161, 절두체판정=5496, 객체검사=4940, 렌더객체=36184, fake노드=4787
        [CULL] maxLevel=8, 시간=1107.6us, m_minNodePixels=8.0, 방문노드=7157, 절두체판정=5496, 객체검사=4940, 렌더객체=36082, fake노드=4783
        [CULL] maxLevel=8, 시간=1095.6us, m_minNodePixels=8.0, 방문노드=7189, 절두체판정=5502, 객체검사=4968, 렌더객체=35970, fake노드=4782
        [CULL] maxLevel=8, 시간=1287.1us, m_minNodePixels=8.0, 방문노드=7156, 절두체판정=5502, 객체검사=4968, 렌더객체=35616, fake노드=4731
        [CULL] maxLevel=8, 시간=1093.4us, m_minNodePixels=8.0, 방문노드=7127, 절두체판정=5502, 객체검사=4968, 렌더객체=35486, fake노드=4710
        [CULL] maxLevel=8, 시간=1144.6us, m_minNodePixels=8.0, 방문노드=7127, 절두체판정=5502, 객체검사=4968, 렌더객체=35402, fake노드=4709
        [CULL] maxLevel=8, 시간=1116.2us, m_minNodePixels=8.0, 방문노드=7116, 절두체판정=5502, 객체검사=4968, 렌더객체=35341, fake노드=4718
        [CULL] maxLevel=8, 시간=1171.6us, m_minNodePixels=8.0, 방문노드=7038, 절두체판정=5518, 객체검사=4993, 렌더객체=35139, fake노드=4685
        [CULL] maxLevel=8, 시간=1197.7us, m_minNodePixels=8.0, 방문노드=7023, 절두체판정=5518, 객체검사=4993, 렌더객체=34994, fake노드=4675
        [CULL] maxLevel=8, 시간=1112.5us, m_minNodePixels=8.0, 방문노드=6993, 절두체판정=5518, 객체검사=4993, 렌더객체=34882, fake노드=4652
        [CULL] maxLevel=8, 시간=1108.2us, m_minNodePixels=8.0, 방문노드=7032, 절두체판정=5529, 객체검사=4997, 렌더객체=34868, fake노드=4665
        [CULL] maxLevel=8, 시간=1053.3us, m_minNodePixels=8.0, 방문노드=7018, 절두체판정=5529, 객체검사=4997, 렌더객체=34756, fake노드=4631
        [CULL] maxLevel=8, 시간=1208.3us, m_minNodePixels=8.0, 방문노드=6997, 절두체판정=5529, 객체검사=4997, 렌더객체=34675, fake노드=4617
        [CULL] maxLevel=8, 시간=1073.4us, m_minNodePixels=8.0, 방문노드=6976, 절두체판정=5529, 객체검사=4997, 렌더객체=34445, fake노드=4601
        [CULL] maxLevel=8, 시간=1186.1us, m_minNodePixels=8.0, 방문노드=6955, 절두체판정=5529, 객체검사=4997, 렌더객체=34377, fake노드=4602
        [CULL] maxLevel=8, 시간=1221.8us, m_minNodePixels=8.0, 방문노드=6860, 절두체판정=5646, 객체검사=5137, 렌더객체=34329, fake노드=4581
        [CULL] maxLevel=8, 시간=1177.7us, m_minNodePixels=8.0, 방문노드=6846, 절두체판정=5646, 객체검사=5137, 렌더객체=34254, fake노드=4571
        [CULL] maxLevel=8, 시간=1066.5us, m_minNodePixels=8.0, 방문노드=6828, 절두체판정=5646, 객체검사=5137, 렌더객체=34237, fake노드=4557
        [CULL] maxLevel=8, 시간=1128.6us, m_minNodePixels=8.0, 방문노드=6828, 절두체판정=5646, 객체검사=5137, 렌더객체=34196, fake노드=4555
        [CULL] maxLevel=8, 시간=1147.0us, m_minNodePixels=8.0, 방문노드=6863, 절두체판정=5715, 객체검사=5211, 렌더객체=34077, fake노드=4557
        [CULL] maxLevel=8, 시간=1242.5us, m_minNodePixels=8.0, 방문노드=6862, 절두체판정=5715, 객체검사=5211, 렌더객체=33978, fake노드=4537
        [CULL] maxLevel=8, 시간=1089.0us, m_minNodePixels=8.0, 방문노드=6845, 절두체판정=5715, 객체검사=5211, 렌더객체=33936, fake노드=4527
        [CULL] maxLevel=8, 시간=1081.7us, m_minNodePixels=8.0, 방문노드=6845, 절두체판정=5715, 객체검사=5211, 렌더객체=33915, fake노드=4527
        [CULL] maxLevel=8, 시간=1211.6us, m_minNodePixels=8.0, 방문노드=6829, 절두체판정=5715, 객체검사=5211, 렌더객체=33767, fake노드=4527
        [CULL] maxLevel=8, 시간=1069.5us, m_minNodePixels=8.0, 방문노드=6770, 절두체판정=5808, 객체검사=5303, 렌더객체=33541, fake노드=4500
        [CULL] maxLevel=8, 시간=1178.5us, m_minNodePixels=8.0, 방문노드=6776, 절두체판정=5808, 객체검사=5303, 렌더객체=33520, fake노드=4504
