전체 객체(폴리곤) 472691, 한 객체당 평균 31개 정점

fake 객체 개수: 16353, 한 객체 당 평균 9개 정점

폴리곤 정점 개수: 14842711,  fake 정점 개수: 143968

- 빌드 시간 차이
    
    평균 7만 마이크로 세컨드 → 0.07초 차이
    
    fake 있을 때: 250000마이크로 세크
    
    fale 없을 때: 180000마이크로 세크
    
- 렌더 시간 차이
    - fake X (10000m 상공)
        
        [click P] 높이= 10000.000000
        시간 간격: 35268.5,  렌더링 객체: 589,  렌더링 fake 객체: 5128
        시간 간격: 309622.2,  렌더링 객체: 600,  렌더링 fake 객체: 5112
        시간 간격: 3346.7,  렌더링 객체: 658,  렌더링 fake 객체: 5107
        시간 간격: 1297.8,  렌더링 객체: 657,  렌더링 fake 객체: 5091
        시간 간격: 1251.8,  렌더링 객체: 655,  렌더링 fake 객체: 5098
        시간 간격: 998.2,  렌더링 객체: 654,  렌더링 fake 객체: 5112
        시간 간격: 1007.7,  렌더링 객체: 653,  렌더링 fake 객체: 5067
        시간 간격: 976.9,  렌더링 객체: 650,  렌더링 fake 객체: 5067
        시간 간격: 1038.2,  렌더링 객체: 654,  렌더링 fake 객체: 5076
        시간 간격: 972.5,  렌더링 객체: 653,  렌더링 fake 객체: 5086
        시간 간격: 1183.1,  렌더링 객체: 652,  렌더링 fake 객체: 5040
        시간 간격: 1000.3,  렌더링 객체: 652,  렌더링 fake 객체: 5037
        시간 간격: 1048.9,  렌더링 객체: 651,  렌더링 fake 객체: 5027
        시간 간격: 1181.2,  렌더링 객체: 654,  렌더링 fake 객체: 5030
        시간 간격: 976.5,  렌더링 객체: 654,  렌더링 fake 객체: 5039
        시간 간격: 937.0,  렌더링 객체: 649,  렌더링 fake 객체: 4983
        시간 간격: 1192.7,  렌더링 객체: 649,  렌더링 fake 객체: 4976
        시간 간격: 1142.7,  렌더링 객체: 651,  렌더링 fake 객체: 4974
        시간 간격: 959.5,  렌더링 객체: 647,  렌더링 fake 객체: 4961
        시간 간격: 1027.7,  렌더링 객체: 642,  렌더링 fake 객체: 4963
        시간 간격: 1020.6,  렌더링 객체: 635,  렌더링 fake 객체: 4952
        시간 간격: 1087.8,  렌더링 객체: 628,  렌더링 fake 객체: 4909
        시간 간격: 1087.0,  렌더링 객체: 627,  렌더링 fake 객체: 4898
        시간 간격: 1058.0,  렌더링 객체: 622,  렌더링 fake 객체: 4896
        시간 간격: 859.8,  렌더링 객체: 623,  렌더링 fake 객체: 4903
        시간 간격: 1156.6,  렌더링 객체: 621,  렌더링 fake 객체: 4891
        시간 간격: 1074.0,  렌더링 객체: 623,  렌더링 fake 객체: 4905
        시간 간격: 1005.2,  렌더링 객체: 622,  렌더링 fake 객체: 4856
        시간 간격: 1132.8,  렌더링 객체: 622,  렌더링 fake 객체: 4857
        시간 간격: 1035.0,  렌더링 객체: 617,  렌더링 fake 객체: 4848
        시간 간격: 954.2,  렌더링 객체: 616,  렌더링 fake 객체: 4843
        시간 간격: 1378.4,  렌더링 객체: 617,  렌더링 fake 객체: 4849
        시간 간격: 903.3,  렌더링 객체: 613,  렌더링 fake 객체: 4847
