[줌인/줌아웃 비교]
- 레벨 5
    
    [CULL] maxLevel=5, 시간=26.4us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=2, fake노드=438
    [CULL] maxLevel=5, 시간=26.8us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=2, fake노드=438
    [CULL] maxLevel=5, 시간=30.1us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=2, fake노드=438
    [CULL] maxLevel=5, 시간=33.8us, m_minNodePixels=8.0, 방문노드=627, 절두체판정=1, 객체검사=0, 렌더객체=2, fake노드=438
    [CULL] maxLevel=5, 시간=21.0us, m_minNodePixels=8.0, 방문노드=404, 절두체판정=1, 객체검사=0, 렌더객체=2, fake노드=288
    [CULL] maxLevel=5, 시간=14.6us, m_minNodePixels=8.0, 방문노드=189, 절두체판정=1, 객체검사=0, 렌더객체=0, fake노드=131
    [CULL] maxLevel=5, 시간=13.6us, m_minNodePixels=8.0, 방문노드=189, 절두체판정=1, 객체검사=0, 렌더객체=0, fake노드=131
    [CULL] maxLevel=5, 시간=15.5us, m_minNodePixels=8.0, 방문노드=189, 절두체판정=1, 객체검사=0, 렌더객체=0, fake노드=131
    [CULL] maxLevel=5, 시간=12.5us, m_minNodePixels=8.0, 방문노드=189, 절두체판정=1, 객체검사=0, 렌더객체=0, fake노드=131
    [CULL] maxLevel=5, 시간=11.9us, m_minNodePixels=8.0, 방문노드=189, 절두체판정=1, 객체검사=0, 렌더객체=0, fake노드=131
    [CULL 평균] maxLevel=5, m_minNodePixels=8.0 평균시간=1970.6us (60프레임), 방문노드=189, 객체검사=0
    [CULL] maxLevel=5, 시간=12.7us, m_minNodePixels=8.0, 방문노드=189, 절두체판정=1, 객체검사=0, 렌더객체=0, fake노드=131
    
- 레벨 6
    
    [CULL] maxLevel=6, 시간=59.9us, m_minNodePixels=8.0, 방문노드=1444, 절두체판정=1, 객체검사=0, 렌더객체=13, fake노드=1014
    [CULL] maxLevel=6, 시간=58.4us, m_minNodePixels=8.0, 방문노드=1444, 절두체판정=1, 객체검사=0, 렌더객체=13, fake노드=1014
    [CULL] maxLevel=6, 시간=97.1us, m_minNodePixels=8.0, 방문노드=1963, 절두체판정=1, 객체검사=0, 렌더객체=16, fake노드=1364
    [CULL] maxLevel=6, 시간=98.4us, m_minNodePixels=8.0, 방문노드=2045, 절두체판정=1, 객체검사=0, 렌더객체=16, fake노드=1418
    [CULL] maxLevel=6, 시간=71.3us, m_minNodePixels=8.0, 방문노드=2045, 절두체판정=1, 객체검사=0, 렌더객체=16, fake노드=1418
    [CULL] maxLevel=6, 시간=96.2us, m_minNodePixels=8.0, 방문노드=2045, 절두체판정=1, 객체검사=0, 렌더객체=16, fake노드=1418
    [CULL] maxLevel=6, 시간=101.0us, m_minNodePixels=8.0, 방문노드=2045, 절두체판정=1, 객체검사=0, 렌더객체=16, fake노드=1418
    [CULL] maxLevel=6, 시간=66.5us, m_minNodePixels=8.0, 방문노드=2045, 절두체판정=1, 객체검사=0, 렌더객체=16, fake노드=1418
    [CULL] maxLevel=6, 시간=2660.2us, m_minNodePixels=8.0, 방문노드=2045, 절두체판정=1, 객체검사=0, 렌더객체=292331, fake노드=928
    [CULL] maxLevel=6, 시간=1726.2us, m_minNodePixels=8.0, 방문노드=2056, 절두체판정=80, 객체검사=0, 렌더객체=405862, fake노드=566
    [CULL] maxLevel=6, 시간=1354.0us, m_minNodePixels=8.0, 방문노드=2029, 절두체판정=104, 객체검사=0, 렌더객체=425938, fake노드=370
    [CULL] maxLevel=6, 시간=1396.2us, m_minNodePixels=8.0, 방문노드=1945, 절두체판정=184, 객체검사=14, 렌더객체=437185, fake노드=225
    [CULL] maxLevel=6, 시간=1523.6us, m_minNodePixels=8.0, 방문노드=1882, 절두체판정=1758, 객체검사=1583, 렌더객체=442438, fake노드=117
    [CULL] maxLevel=6, 시간=1727.8us, m_minNodePixels=8.0, 방문노드=1767, 절두체판정=5441, 객체검사=5178, 렌더객체=441690, fake노드=29
    [CULL] maxLevel=6, 시간=2532.6us, m_minNodePixels=8.0, 방문노드=1640, 절두체판정=11344, 객체검사=11048, 렌더객체=424282, fake노드=0
    [CULL] maxLevel=6, 시간=2599.2us, m_minNodePixels=8.0, 방문노드=1455, 절두체판정=20840, 객체검사=20521, 렌더객체=388602, fake노드=0
    [CULL] maxLevel=6, 시간=3115.7us, m_minNodePixels=8.0, 방문노드=1255, 절두체판정=24591, 객체검사=24264, 렌더객체=349080, fake노드=0
    [CULL] maxLevel=6, 시간=2646.0us, m_minNodePixels=8.0, 방문노드=1130, 절두체판정=22395, 객체검사=22074, 렌더객체=314551, fake노드=0
    [CULL] maxLevel=6, 시간=2359.4us, m_minNodePixels=8.0, 방문노드=957, 절두체판정=18420, 객체검사=18142, 렌더객체=288420, fake노드=0
    [CULL] maxLevel=6, 시간=2541.0us, m_minNodePixels=8.0, 방문노드=848, 절두체판정=22052, 객체검사=21780, 렌더객체=259980, fake노드=0
    [CULL] maxLevel=6, 시간=2142.1us, m_minNodePixels=8.0, 방문노드=761, 절두체판정=17667, 객체검사=17398, 렌더객체=240570, fake노드=0
    [CULL] maxLevel=6, 시간=3192.0us, m_minNodePixels=8.0, 방문노드=648, 절두체판정=29399, 객체검사=29135, 렌더객체=213592, fake노드=0
    [CULL] maxLevel=6, 시간=3741.7us, m_minNodePixels=8.0, 방문노드=518, 절두체판정=32474, 객체검사=32240, 렌더객체=184601, fake노드=0
    [CULL] maxLevel=6, 시간=3544.2us, m_minNodePixels=8.0, 방문노드=469, 절두체판정=35007, 객체검사=34773, 렌더객체=158178, fake노드=0
    [CULL] maxLevel=6, 시간=3819.8us, m_minNodePixels=8.0, 방문노드=346, 절두체판정=38457, 객체검사=38268, 렌더객체=130971, fake노드=0
    [CULL] maxLevel=6, 시간=2830.7us, m_minNodePixels=8.0, 방문노드=346, 절두체판정=38457, 객체검사=38268, 렌더객체=105862, fake노드=0
    [CULL] maxLevel=6, 시간=2938.1us, m_minNodePixels=8.0, 방문노드=303, 절두체판정=37462, 객체검사=37273, 렌더객체=81866, fake노드=0
    [CULL] maxLevel=6, 시간=2378.3us, m_minNodePixels=8.0, 방문노드=265, 절두체판정=31078, 객체검사=30903, 렌더객체=59873, fake노드=0
    [CULL] maxLevel=6, 시간=2044.4us, m_minNodePixels=8.0, 방문노드=199, 절두체판정=26961, 객체검사=26820, 렌더객체=45282, fake노드=0
    [CULL] maxLevel=6, 시간=1880.4us, m_minNodePixels=8.0, 방문노드=187, 절두체판정=23855, 객체검사=23714, 렌더객체=34228, fake노드=0
    [CULL] maxLevel=6, 시간=1982.7us, m_minNodePixels=8.0, 방문노드=187, 절두체판정=23855, 객체검사=23714, 렌더객체=25175, fake노드=0
    [CULL] maxLevel=6, 시간=1594.0us, m_minNodePixels=8.0, 방문노드=130, 절두체판정=14621, 객체검사=14513, 렌더객체=17167, fake노드=0
    [CULL] maxLevel=6, 시간=1107.0us, m_minNodePixels=8.0, 방문노드=130, 절두체판정=14621, 객체검사=14513, 렌더객체=11164, fake노드=0
    [CULL] maxLevel=6, 시간=923.7us, m_minNodePixels=8.0, 방문노드=130, 절두체판정=14621, 객체검사=14513, 렌더객체=7631, fake노드=0
    [CULL] maxLevel=6, 시간=943.3us, m_minNodePixels=8.0, 방문노드=122, 절두체판정=9003, 객체검사=8895, 렌더객체=5768, fake노드=0
    [CULL] maxLevel=6, 시간=392.7us, m_minNodePixels=8.0, 방문노드=96, 절두체판정=4172, 객체검사=4082, 렌더객체=4373, fake노드=0
    [CULL] maxLevel=6, 시간=351.3us, m_minNodePixels=8.0, 방문노드=96, 절두체판정=4172, 객체검사=4082, 렌더객체=3393, fake노드=0
    [CULL] maxLevel=6, 시간=339.9us, m_minNodePixels=8.0, 방문노드=96, 절두체판정=4172, 객체검사=4082, 렌더객체=2558, fake노드=0
    [CULL] maxLevel=6, 시간=274.2us, m_minNodePixels=8.0, 방문노드=78, 절두체판정=3411, 객체검사=3336, 렌더객체=1886, fake노드=0
    [CULL] maxLevel=6, 시간=265.8us, m_minNodePixels=8.0, 방문노드=78, 절두체판정=3411, 객체검사=3336, 렌더객체=1572, fake노드=0
    [CULL] maxLevel=6, 시간=305.3us, m_minNodePixels=8.0, 방문노드=78, 절두체판정=3411, 객체검사=3336, 렌더객체=1087, fake노드=0
    [CULL] maxLevel=6, 시간=127.9us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=1780, 객체검사=1705, 렌더객체=600, fake노드=0
    [CULL] maxLevel=6, 시간=109.9us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=1780, 객체검사=1705, 렌더객체=272, fake노드=0
    [CULL] maxLevel=6, 시간=95.7us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=1780, 객체검사=1705, 렌더객체=89, fake노드=0
    [CULL] maxLevel=6, 시간=31.7us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=166, 객체검사=91, 렌더객체=51, fake노드=0
    [CULL] maxLevel=6, 시간=17.6us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=166, 객체검사=91, 렌더객체=41, fake노드=0
    [CULL] maxLevel=6, 시간=16.7us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=166, 객체검사=91, 렌더객체=27, fake노드=0
    [CULL] maxLevel=6, 시간=16.5us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=166, 객체검사=91, 렌더객체=13, fake노드=0
    [CULL] maxLevel=6, 시간=18.2us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=166, 객체검사=91, 렌더객체=12, fake노드=0
    [CULL] maxLevel=6, 시간=20.9us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=166, 객체검사=91, 렌더객체=4, fake노드=0
    [CULL] maxLevel=6, 시간=20.5us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=166, 객체검사=91, 렌더객체=1, fake노드=0
    [CULL] maxLevel=6, 시간=20.5us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=166, 객체검사=91, 렌더객체=0, fake노드=0
    [CULL] maxLevel=6, 시간=20.6us, m_minNodePixels=8.0, 방문노드=75, 절두체판정=166, 객체검사=91, 렌더객체=0, fake노드=0
